order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,30,1,26.93,0.05
2,1,48,1,74.81,0.0
3,1,28,1,10.68,0.0
4,2,11,2,44.7,0.0
5,3,48,1,71.07,0.05
6,4,2,1,303.49,0.0
7,5,4,1,84.32,0.0
8,6,10,1,378.85,0.0
9,6,5,2,163.54,0.08
10,6,51,1,31.66,0.0
11,7,21,1,25.39,0.0
12,8,5,1,177.76,0.0
13,9,29,1,26.67,0.0
14,10,27,1,56.16,0.0
15,11,4,1,84.32,0.0
16,12,23,1,75.92,0.0
17,12,4,1,84.32,0.0
18,12,17,1,85.44,0.0
19,12,12,1,36.02,0.05
20,13,8,1,353.64,0.0
21,14,3,1,410.61,0.0
22,14,32,1,128.02,0.05
23,14,30,1,28.35,0.0
24,15,38,2,96.92,0.0
25,15,39,1,150.51,0.0
26,15,26,1,74.55,0.0
27,16,20,1,120.33,0.05
28,16,48,1,68.83,0.08
29,17,57,1,31.25,0.0
30,17,39,2,142.98,0.05
31,18,47,3,138.49,0.0
32,19,14,2,74.24,0.0
33,19,41,1,146.29,0.0
34,20,22,1,65.84,0.0
35,21,43,1,117.53,0.0
36,22,4,1,80.1,0.05
37,22,9,2,326.86,0.0
38,23,40,1,40.37,0.0
39,23,53,1,13.55,0.0
40,24,43,1,117.53,0.0
41,24,54,2,22.25,0.05
42,25,50,1,72.37,0.0
43,26,20,1,126.66,0.0
44,26,60,2,27.15,0.05
45,26,8,1,353.64,0.0
46,27,28,2,10.68,0.0
47,28,2,1,303.49,0.0
48,29,22,1,65.84,0.0
49,30,1,2,332.97,0.0
50,31,37,1,47.75,0.0
51,32,58,1,33.14,0.08
52,33,59,2,18.0,0.05
53,33,38,1,96.92,0.0
54,34,5,1,177.76,0.0
55,34,7,1,116.37,0.05
56,35,6,2,351.76,0.0
57,36,6,1,334.17,0.05
58,36,35,1,34.36,0.0
59,37,24,1,20.16,0.0
60,38,59,1,18.95,0.0
61,39,51,1,31.66,0.0
62,40,2,1,303.49,0.0
63,40,43,2,117.53,0.0
64,40,45,1,74.45,0.05
65,40,4,2,84.32,0.0
66,41,1,1,332.97,0.0
67,41,10,1,378.85,0.0
68,41,47,2,138.49,0.0
69,42,14,1,70.53,0.05
70,42,57,1,31.25,0.0
71,42,52,1,9.3,0.05
72,43,47,2,138.49,0.0
73,44,35,1,32.64,0.05
74,45,34,2,50.9,0.0
75,45,5,1,177.76,0.0
76,45,4,1,84.32,0.0
77,45,35,1,34.36,0.0
78,46,6,1,351.76,0.0
79,47,13,1,137.12,0.0
80,47,48,2,71.07,0.05
81,48,31,1,75.5,0.0
82,48,35,1,34.36,0.0
83,49,56,1,47.83,0.0
84,50,2,1,288.32,0.05
85,51,43,2,111.65,0.05
86,52,9,1,326.86,0.0
87,52,4,2,84.32,0.0
88,53,12,1,34.89,0.08
89,53,30,1,28.35,0.0
90,54,23,1,75.92,0.0
91,55,42,1,147.61,0.05
92,56,11,1,42.47,0.05
93,57,33,1,157.83,0.0
94,57,10,1,378.85,0.0
95,58,8,2,335.96,0.05
96,58,45,1,78.37,0.0
97,59,51,1,31.66,0.0
98,60,13,1,137.12,0.0
99,61,9,1,326.86,0.0
100,62,7,1,122.49,0.0
101,63,48,1,74.81,0.0
102,64,51,2,31.66,0.0
103,65,1,2,306.33,0.08
104,66,17,1,85.44,0.0
105,67,17,3,85.44,0.0
106,68,60,2,28.58,0.0
107,68,12,1,37.92,0.0
108,69,48,3,74.81,0.0
109,70,50,1,68.75,0.05
110,71,49,3,97.61,0.0
111,72,27,2,53.35,0.05
112,73,7,1,122.49,0.0
113,74,33,1,149.94,0.05
114,75,12,1,36.02,0.05
115,75,5,2,168.87,0.05
116,76,12,1,37.92,0.0
117,76,31,1,75.5,0.0
118,77,7,1,112.69,0.08
119,77,19,1,147.2,0.0
120,77,3,1,377.76,0.08
121,78,4,1,84.32,0.0
122,79,42,1,142.95,0.08
123,79,2,1,303.49,0.0
124,80,44,1,24.46,0.0
125,80,2,1,288.32,0.05
126,81,48,1,74.81,0.0
