order_id,customer_id,order_date,order_status,payment_method,campaign_id
1,158,2024-01-01,completed,digital_wallet,
2,562,2024-01-01,completed,digital_wallet,
3,408,2024-01-01,completed,digital_wallet,
4,1385,2024-01-01,completed,digital_wallet,
5,673,2024-01-01,completed,credit_card,
6,515,2024-01-01,completed,credit_card,
7,70,2024-01-01,refunded,bank_transfer,
8,891,2024-01-01,completed,credit_card,
9,284,2024-01-01,completed,bank_transfer,
10,649,2024-01-01,completed,credit_card,
11,894,2024-01-01,completed,credit_card,
12,662,2024-01-01,refunded,bank_transfer,
13,620,2024-01-01,completed,credit_card,
14,362,2024-01-01,completed,credit_card,
15,625,2024-01-01,completed,digital_wallet,
16,473,2024-01-01,completed,credit_card,
17,992,2024-01-02,completed,credit_card,
18,363,2024-01-02,completed,bank_transfer,
19,1130,2024-01-02,completed,credit_card,
20,243,2024-01-02,completed,credit_card,
21,88,2024-01-02,completed,credit_card,
22,235,2024-01-02,completed,credit_card,
23,228,2024-01-02,completed,digital_wallet,
24,329,2024-01-02,completed,credit_card,
25,915,2024-01-02,completed,credit_card,
26,751,2024-01-02,cancelled,digital_wallet,
27,76,2024-01-02,completed,credit_card,
28,642,2024-01-02,completed,credit_card,
29,640,2024-01-02,completed,digital_wallet,
30,383,2024-01-02,completed,credit_card,
31,998,2024-01-03,completed,digital_wallet,
32,786,2024-01-03,completed,credit_card,
33,380,2024-01-03,completed,digital_wallet,
34,443,2024-01-03,completed,bank_transfer,
35,1492,2024-01-03,completed,credit_card,
36,829,2024-01-03,completed,credit_card,
37,807,2024-01-03,completed,digital_wallet,
38,674,2024-01-03,completed,digital_wallet,
39,462,2024-01-03,completed,credit_card,
40,22,2024-01-03,completed,credit_card,
41,692,2024-01-03,completed,credit_card,
42,764,2024-01-03,completed,credit_card,
43,834,2024-01-03,completed,bank_transfer,
44,1190,2024-01-04,completed,credit_card,
45,1401,2024-01-04,completed,credit_card,
46,235,2024-01-04,refunded,credit_card,
47,1159,2024-01-04,completed,credit_card,
48,1410,2024-01-04,completed,credit_card,
49,27,2024-01-04,completed,bank_transfer,
50,1113,2024-01-04,completed,credit_card,
51,1343,2024-01-04,completed,digital_wallet,
52,192,2024-01-04,completed,credit_card,
53,1289,2024-01-04,completed,credit_card,
54,1429,2024-01-04,completed,digital_wallet,
55,610,2024-01-04,completed,digital_wallet,
56,769,2024-01-04,completed,credit_card,
57,767,2024-01-04,completed,credit_card,
58,1373,2024-01-04,completed,credit_card,
59,1160,2024-01-04,completed,bank_transfer,
60,703,2024-01-04,completed,digital_wallet,
61,1408,2024-01-04,completed,credit_card,
62,21,2024-01-04,completed,credit_card,
63,1201,2024-01-05,completed,digital_wallet,
64,1248,2024-01-05,completed,credit_card,
65,1357,2024-01-05,completed,credit_card,
66,688,2024-01-05,completed,digital_wallet,
67,463,2024-01-05,completed,credit_card,
68,68,2024-01-05,completed,credit_card,
69,1406,2024-01-05,completed,credit_card,
70,744,2024-01-05,completed,digital_wallet,
71,268,2024-01-05,completed,credit_card,
72,169,2024-01-05,completed,credit_card,
73,669,2024-01-05,completed,digital_wallet,
74,29,2024-01-05,completed,digital_wallet,
75,344,2024-01-06,completed,credit_card,
76,451,2024-01-06,completed,digital_wallet,
77,753,2024-01-06,completed,digital_wallet,
78,755,2024-01-06,completed,digital_wallet,
79,710,2024-01-06,completed,digital_wallet,
80,1014,2024-01-06,completed,credit_card,
81,1240,2024-01-06,completed,digital_wallet,
82,245,2024-01-06,completed,digital_wallet,
83,109,2024-01-06,completed,credit_card,
84,966,2024-01-06,cancelled,credit_card,
85,1119,2024-01-07,completed,credit_card,
86,483,2024-01-07,completed,credit_card,
87,835,2024-01-07,completed,credit_card,
88,670,2024-01-07,completed,credit_card,
89,100,2024-01-07,completed,credit_card,
90,1035,2024-01-07,completed,bank_transfer,
91,612,2024-01-07,completed,digital_wallet,
92,1324,2024-01-07,completed,digital_wallet,
93,1040,2024-01-07,completed,credit_card,
94,411,2024-01-07,completed,credit_card,
95,513,2024-01-07,completed,bank_transfer,
96,1141,2024-01-07,completed,credit_card,
97,575,2024-01-07,completed,credit_card,
98,1003,2024-01-07,completed,credit_card,
99,659,2024-01-07,completed,digital_wallet,
100,252,2024-01-07,completed,credit_card,
101,280,2024-01-07,completed,digital_wallet,
102,815,2024-01-08,completed,bank_transfer,
103,1134,2024-01-08,completed,credit_card,
104,1023,2024-01-08,completed,digital_wallet,
105,608,2024-01-08,completed,credit_card,
106,98,2024-01-08,completed,digital_wallet,
107,390,2024-01-08,completed,credit_card,
108,597,2024-01-08,completed,digital_wallet,
109,597,2024-01-08,completed,credit_card,
110,1451,2024-01-08,completed,credit_card,
111,851,2024-01-08,completed,credit_card,
112,656,2024-01-08,completed,credit_card,
113,582,2024-01-08,completed,credit_card,
114,1411,2024-01-08,completed,credit_card,
115,1176,2024-01-08,completed,credit_card,
116,1364,2024-01-08,completed,bank_transfer,
117,178,2024-01-09,completed,digital_wallet,
118,984,2024-01-09,completed,bank_transfer,
119,1212,2024-01-09,completed,credit_card,
120,759,2024-01-09,completed,credit_card,
121,1334,2024-01-09,completed,digital_wallet,
122,546,2024-01-09,refunded,credit_card,
123,301,2024-01-09,completed,credit_card,
124,722,2024-01-09,completed,credit_card,
125,1308,2024-01-09,completed,digital_wallet,
126,486,2024-01-09,completed,credit_card,
127,794,2024-01-09,completed,digital_wallet,
128,1137,2024-01-09,completed,digital_wallet,
129,712,2024-01-10,completed,digital_wallet,
130,1175,2024-01-10,completed,credit_card,
131,18,2024-01-10,completed,credit_card,
132,556,2024-01-10,completed,credit_card,
133,904,2024-01-10,completed,bank_transfer,
134,950,2024-01-10,completed,digital_wallet,
135,849,2024-01-10,completed,digital_wallet,
136,923,2024-01-10,completed,credit_card,
137,97,2024-01-10,completed,credit_card,
138,437,2024-01-10,completed,credit_card,
139,1276,2024-01-10,completed,credit_card,
140,1278,2024-01-10,completed,credit_card,
141,1215,2024-01-10,completed,bank_transfer,
142,1246,2024-01-10,completed,credit_card,
143,838,2024-01-10,completed,credit_card,
144,253,2024-01-10,completed,credit_card,
145,1414,2024-01-10,refunded,credit_card,
146,759,2024-01-10,completed,digital_wallet,
147,1124,2024-01-11,completed,credit_card,
148,1407,2024-01-11,completed,digital_wallet,
149,1115,2024-01-11,completed,credit_card,
150,1239,2024-01-11,completed,digital_wallet,
